answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
825967,1461560,926230,272,1511,1514,,Kitobda qancha bet bor?,Allohning_elchisi_Muhammad_sollallohu_alayhi_vasallam.txt,"apon, turk tili kabi 29 ta tilga tarjima qilingan. Kitobning asli ingliz tilida yozilganligi sababli o‘zbek tiliga tarjima uchun kitobning aynan ingliz tilidagi nusxasi asos qilib olindi.
Tarjimon: Hasanov Mirnosir Mirqobil o‘g‘li
Muqova va kitob dizayneri: Teylor va Toglou (Taylor va Toglaw)
Kitob 272 betdan iborat. 2021-yilda chop etilgan.
Ko'proq: https://asaxiy.uz/uz/product/allohning-elchisi-muhammad-sollallohu-alaihi-vasallam"
823724,1461266,924988,Abdel Sellu: Sen mening hayotimni o‘zgartirding,0,47,,Fransiyalik boy odam va uning qora tanli xizmatkori haqidagi kino olingan kitob qaysi?,Abdel_Sellu_Sen_mening_hayotimni_ozgartirding.txt,"Abdel Sellu: Sen mening hayotimni o‘zgartirding
Fransuz va amerikalik ekran versiyalari yaratuvchilarini ilhomlantirgan hayotiy hikoya.
Paraplanning qulashi 42 yoshli aristokratik nasl merosxo‘ri va shampan vinolarini ishlab chiqaruvchi kompaniyalar top menejeri Filippo Posso de Borgoni nogironlik aravachasiga mixlab qo‘ygan edi. Oqsoch vazifasi"
823726,1461266,924990," ""shayton-ko‘riqchi"" ",491,512,,Abdel Selluning ikkichi ismi nima?,Abdel_Sellu_Sen_mening_hayotimni_ozgartirding.txt,"o‘ri va shampan vinolarini ishlab chiqaruvchi kompaniyalar top menejeri Filippo Posso de Borgoni nogironlik aravachasiga mixlab qo‘ygan edi. Oqsoch vazifasini bajarish uchun u kutilmaganda yuzlab talabgorlar orasidan yaqinda qamoqdan chiqqan afrikalik muhojirni tanlab oldi. Va u tanlovida adashmadi: ""shayton-ko‘riqchi"" nafaqat unga depressiyaga tushishga imkon bermadi, balki, uning hayotini yangicha mazmun bilan to‘ldirdi.
""Men unga yordam berdim, u esa menga. Lekin u menga ko‘proq yordam berdi. Men uning hayotini o‘zgartirmadim. Balki, u menikini o‘zgartirdi"".
Abdel Sellu turmush o‘rtog‘i va uch nafar farzandi bi"
823728,1461267,924992,33 ta,646,651,,Musnadi Keshiy qancha mavzu bo'yicha bilimlarni o'z ichiga qamrab oladi?,Abd_ibn_Humayd_Keshiy_Musnadi_Keshiy_(Hadislar_toplami).txt,"ning sifatlari, savol-javob kabi masalalarni qamrab olgan hadislar to‘plangan. Ayniqsa, bugungi kunimizda dolzarb bo‘lgan oila, nikoh haqida ko‘p hadis ko‘rishimiz mumkin. Har bir mavzu bo‘yicha 1 dan 200 tagacha hadis jamlangan. Ular mazmun, maʼno va hukm hamda yo‘nalishlarga qarab tartiblangan va 33 ta mavzuni qamrab oladi. Ularda imon, tavhid, takdir, Qurʼoni karim fazilatlari, ilmning ahamiyati, zulmdan yiroqda bo‘lish, taomlanish odobi, kiyinish madaniyati, odob- axloq, fazilatli ishlar, bemorni ziyorat qilish va tabobat, fitnalar, dehqonchilik haqidagi hadislar jamlangan.
Kitob 1280 betdan ib"
823734,1461268,924996,amaliyotda ishlayotgan shifokorlarning yuqorida qayd etilgan zamonaviy usullar bilan yetarli darajada tanish emasliklari,587,707,,Nega O'zbekistonda ichki kasalliklar ko'paymoqda?,Abdigaffor_Gadayev_Ichki_kasalliklar.txt,"iy etilishi va yuqori samarali dorilarning yaratilishi bilan bog‘liq. Lekin, shunga qaramasdan, butun dunyoda, jumladan, O‘zbekistonda ham aholi orasida keng tarqalgan. yuqumli bo‘lmagan kasalliklarning ko‘payishi kuzatilmoqda. Uning qator obyektiv va subyektiv sabablari mavjud bo‘lib, ulardan biri amaliyotda ishlayotgan shifokorlarning yuqorida qayd etilgan zamonaviy usullar bilan yetarli darajada tanish emasliklari va so‘nggi yillarda talabalar uchun lotin alifbosida darsliklar nashr etilmaganligidir. Shularni eʼtiborga olib, lotin alifbosida qayta nashr etilayotgan mazkur darslik tibbiyotning so‘nggi yutuqlariga tayanilgan holda tibbiyot institutlarining davolash va tibbiy pedagogika. fakultetlari IV-VI kurs"
823741,1461269,925000,"qon va nerv bilan taʼminlanishi, vena hamda limfa tomirlari",852,911,,Odam anatomiyasi kitobiga boshqa kitoblardan farqli ravishda qaysi qismlar kiritilgan?,Abdigaffor_Gadayev_Utkur_Mirsharipov_Odam_anatomiyasi.txt,"n tibbiyot texnikumlarining talabalari ham foydalanishlari mumkin.
Kitob hozirga qadar respublikamizda odam anatomiyasi fanidan nashr etilgan darsliklardan bir muncha farq qiladi. Unda keltirilgan ko‘p sonli rangli rasmlarda mushaklar va ichki aʼzolarning anatomik tuzilishi bilan bir qatorda ularni qon va nerv bilan taʼminlanishi, vena hamda limfa tomirlari yo‘nalishlari keltirilgan.
Bunday yondashish nafaqat bo‘lg‘usi shifokorga inson organizmiga bir butunlikda qarash imkoniyatini yaratadi, balki kitobni amaliyotda ishlayotgan vrachlar uchun ham muhim qo‘llanmaga aylantiradi.
Kitob 704 betdan iborat. 2021-yilda chop etilgan.
Ko'proq: https://asaxiy.u"
823743,1461270,925002,vaqtlaridan unumli foydalanganlari,293,327,,Nega qadimgi ulamolar orasida yangiliklar yaratish ko'proq sodir bo'lgan?,Abdufattoh_Abu_Gudda_Ulamolar_nazdida_vaqtning_qadri_(oldindan_buyurtma).txt,"Abdufattoh Abu G‘udda: Ulamolar nazdida vaqtning qadri (oldindan buyurtma)
Abdul Fattoh Abu G‘udda rahmatullohi alayhning «Ulamolar nazdida vaqtning qadri» nomli asari ilm ahllari nazdidagi vaqtning qadri xususida fikr-mulohaza yuritishga bag‘ishlangan. Mazkur kitobda o‘tgan ulamolarimizning vaqtlaridan unumli foydalanganlari va shu tufayli ulkan hajmdagi asarlar taʼlif etganlari misollar bilan bayon qilib berilgan. Ushbu kitob o‘quvchini vaqtning qadriga yetishga, o‘zi, oilasi, el-yurt va vatani uchun foydali ishlar bilan mashg‘ul bo‘lishga targ‘ib qiladi.
Kitob 160 betdan iborat. 2018-yilda chop etilgan.
Ko'proq: http"
823746,1461271,925005,Ko‘xna Toshkand devori» romani ,267,298,,Toshkent tarixi bilan tanishmoqchiman,Abdujabbor_Obidov_Buyuk_Shosh_yohud_kohna_Toshkand_devori.txt,"Abdujabbor Obidov: Buyuk Shosh yohud ko‘hna Toshkand devori
Toshkent o‘zining ko‘hna o‘tmishi va bugungi kundagi nufuzi bilan nafaqat O‘zbekiston xalqi, balki xorijiy mamlakatlardan tashrif buyuradigan mehmonlarning diqqat eʼtiborida.
Yozuvchi Abdujabbor Obidovning «Ko‘xna Toshkand devori» romani bu borada juda ahamiyatli. Jonajon poytaxtimiz tarixi, XVIII asrdagi odamlar hayoti, mexnat-u mashaqqatlari, kuvonch-u shodliklari, hokimlari Yunusxo‘ja boshchiligida hudud devorini qayta qurish, taʼmirlash va o‘n ikki darvozasi bilan bog‘lik bunyodkorlik ishlari xususida. Muallif shaharning tabiati"
823749,1461271,925008,XVIII,353,358,,Yunusxo'ja Toshkent shahriga qaysi davrda hukmronlik qilgan?,Abdujabbor_Obidov_Buyuk_Shosh_yohud_kohna_Toshkand_devori.txt,"devori
Toshkent o‘zining ko‘hna o‘tmishi va bugungi kundagi nufuzi bilan nafaqat O‘zbekiston xalqi, balki xorijiy mamlakatlardan tashrif buyuradigan mehmonlarning diqqat eʼtiborida.
Yozuvchi Abdujabbor Obidovning «Ko‘xna Toshkand devori» romani bu borada juda ahamiyatli. Jonajon poytaxtimiz tarixi, XVIII asrdagi odamlar hayoti, mexnat-u mashaqqatlari, kuvonch-u shodliklari, hokimlari Yunusxo‘ja boshchiligida hudud devorini qayta qurish, taʼmirlash va o‘n ikki darvozasi bilan bog‘lik bunyodkorlik ishlari xususida. Muallif shaharning tabiati, ko‘cha-mahallalari, suv-ariqlari, hovuzlari, bog‘-rog‘lari"
823751,1461272,925009,Huzur eshigi.,20,33,,Abdukarim Mirzayev yozgan kitobning nomi nima?,Abdukarim_Mirzayev_Huzur_eshigi_1-kundalik.txt,"Abdukarim Mirzayev: Huzur eshigi. 1-kundalik
Shunday savollar borki, ularni tilga olishimiz hamonoq hayotimizning qaysidir nuqtalarida o‘zgarishlar sodir bo‘la boshlaydi.
Insonlar uzoqlarga qarashdan, nimalarnidir eslashdan, javobsiz qoldirgan yoki hech qachon o‘ylab ham ko‘rmagan savollariga javob berishdan qochishadi. Balki, tayi"
